Player_ID,Name,Team,Position,Age,Experience,Salary,PER,WS,VORP,PPG,RPG,APG,SPG,BPG,TS_pct,USG_pct,Games_Played,Games_Started,Minutes_Per_Game,Injury_Count,Days_Injured,All_Star_Appearances,Social_Media_Followers_K,Jersey_Sales_Rank,Draft_Pick,Rookie_of_Year_Votes,Most_Improved_Votes,综合价值得分,正理想解距离,负理想解距离,排名
P089,Player 89,Phoenix Mercury,PF,31,9,101823.17120347243,13.321378348414791,1.3297380271640542,3.342339879489564,9.518778650031782,11.459499184754511,7.785463205312297,0.4325882586370339,0.8231842576055021,49.113745243911104,12.435451750044397,26,24,28.24650772121196,1,33,7,782.4497551927211,103,14.0,39,20,0.6612898288117152,0.022298652918195844,0.04353536944403572,1.0
P139,Player 139,Las Vegas Aces,SG,32,9,189119.60730282025,13.120724715305586,6.521400864485086,2.3183558268132405,22.552457757117494,8.644800747391969,2.871170787325629,1.590538618986043,0.3702738005056727,61.355706597138905,29.341099815843908,16,35,21.665194617430394,0,18,4,1587.2642814138828,16,26.0,78,47,0.6239925476434592,0.022069377853849895,0.036624612858127674,2.0
P053,Player 53,Los Angeles Sparks,SG,25,11,112616.0209172496,21.401215377701064,3.1912286309262687,2.999580426865947,4.692970435842602,2.127607007897472,7.8109487161008735,1.014088825780595,1.86163785701096,58.187078444115656,24.17642287007452,31,25,25.10179192678048,1,40,0,12.693715173781628,10,16.0,37,38,0.5919985846247925,0.027198557059650925,0.03946434187622252,3.0
P128,Player 128,Las Vegas Aces,PG,26,13,208857.926258254,20.274009484040413,1.3492853438056644,2.6901680821318523,6.385709939476811,7.401685421058387,7.01203460384944,2.2800508714756247,1.3353820755564914,59.56981354323226,20.776281486120915,24,2,30.725443313637275,4,26,7,1989.6903949922423,58,7.0,81,39,0.5705916255769532,0.027249207669105123,0.0362083524280316,4.0
P079,Player 79,New York Liberty,C,22,4,117628.93701656572,10.707618517139782,1.6375615979956335,1.9514747125740384,22.22089651209945,5.687994324595702,7.342725092125182,2.0885686251754056,1.241129233385173,58.206054394026765,14.130051436620972,29,27,23.28998661511077,4,7,4,737.7046890401289,106,12.0,22,22,0.5638324440234052,0.027237290364495802,0.0352095607312804,5.0
P041,Player 41,Washington Mystics,SF,33,7,113680.91545730356,17.13777008178286,0.9987220052508312,2.2199977161950786,23.33671629828367,7.949948797183352,7.038376749441513,2.2327342348629653,1.1683639501680287,62.84169377880469,23.152608074277133,11,18,15.85461117038714,4,31,7,259.8449273776802,116,14.0,8,23,0.5621298320705007,0.02839361542999664,0.03645121202301503,6.0
P096,Player 96,Indiana Fever,SF,23,12,183078.1426601981,23.45447688640762,5.916894262947997,1.7081710733043347,17.952240219247535,4.016367225835371,4.361130154472677,0.9760379228378304,0.8656623396538067,64.36977555188767,19.733822629300832,21,11,33.850828189626014,3,10,2,1781.380863418069,24,30.0,32,21,0.5494852160972661,0.02593245875827084,0.031629378810234296,7.0
P043,Player 43,Los Angeles Sparks,C,25,4,108633.81400249664,25.52254675744141,4.808548348849339,-0.8730682216982757,23.773862760495547,7.974062734095725,7.8189894186434845,1.019472955439125,0.4330755904795533,60.7380677251059,26.29555196298752,25,1,34.26915516186958,2,28,5,1542.614841396621,91,4.0,82,44,0.5426180224378335,0.030604298273593115,0.036307604313769413,8.0
P138,Player 138,Seattle Storm,C,31,12,122562.53366552922,15.131713036489248,3.013979312344257,1.3802520109954983,5.849328268221692,4.208288365802336,7.504062631459287,1.293888893221904,0.5544421980102586,59.51959819970591,23.9482143511606,11,37,15.40128412529218,3,18,4,388.314223069618,39,22.0,36,28,0.5361879010045443,0.028002007691057606,0.03237159576888738,9.0
P100,Player 100,Las Vegas Aces,PG,33,1,204362.3033476926,26.11372307836959,4.570433325106971,3.1746511839964957,4.9670420508697095,3.529500664801948,3.433111524888205,1.6427343232840206,1.9536593816338383,57.03763179272645,26.447579576322788,12,34,27.93930311828986,3,13,7,25.604765636114465,24,20.0,93,42,0.5361094717487999,0.030648057399526894,0.03541937788240602,10.0
